DATEE,NETWORTH
20221219,306743.6469
20221220,297724.0228
20221221,302123.8
20221222,307045.9349
20221223,312937.2167
20221224,302539.0273
20221225,299856.6436
20221226,309062.2905
20221227,304233.1675
20221228,304162.5767
20221229,2823.5636
